,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
300,9403082,361642686,38.7,3547,73.53936199,64.90201354,47.62731663,54.43606439433674,63.47009328994804,-0.4578125409415669,0.0,0.0,0
959,7443647,400289402,53.7,3359,37.5842273,37.72673924,38.0117631,41.18574997997047,40.78199154912991,-0.4487536690254788,-42.85714285714249,-74.19354838709666,1
98,6804274,225000083,33.2,1944,48.24785082,35.88079572,11.14668553,45.85220802332376,56.101735057927314,-0.7429589551690887,0.0,-23.07692307692291,1
233,17207376,736535110,43.6,5477,84.81991675,74.82884179,54.84669187,72.11602129923071,79.52447546560929,0.3778774401794639,0.0,0.0,0
1052,7770709,398340813,51.3,3591,50.65683411,51.27313945,52.50575015,50.792962586039856,46.49929066539155,0.3197266634305504,-100.0,-60.71428571428588,1
515,15069680,641125743,42.35,6358,23.5793767,42.7262717,81.0200617,30.591438810987327,15.449962612815066,0.4762349710588768,-100.0,-100.0,1
526,8252324,359322436,43.4,3209,46.05848438,55.1027441,73.19126353,44.80603727308396,40.37124708989917,0.0964689394524261,-100.0,-82.49999999999993,1
2585,13688264,1002697589,73.2,4743,73.70462637,58.21682894,27.24123407,56.2015898074284,59.9366351934107,0.2082290139204591,-23.07692307692291,-21.42857142857125,1
1179,5789310,300789499,52.0,2341,30.84883222,38.95683489,55.17284023,41.037263157437486,38.05241762288114,-0.3275290063204243,-72.72727272727283,-85.71428571428581,0
1667,14441736,885000790,61.7,5554,88.87621533,80.07488988,62.47223898,62.026307794144856,69.5971663441129,-0.6765885731046892,0.0,0.0,0
1919,11335191,736994211,65.5,5389,72.11438595,58.67047251,31.78264564,64.76632262880347,74.29057804399505,0.2353085536607539,0.0,0.0,1
2501,8582691,626797780,73.5,4277,35.35270804,33.70860018,30.42038446,49.65785114957466,53.75382328927078,-0.1659725558619832,0.0,-39.47368421052634,0
46,11728494,420486790,36.05,3268,36.89669835,39.30729063,44.12847521,53.45846245532398,58.12901446413578,0.0745425982426785,0.0,-18.18181818181841,1
2507,19721933,1389580549,70.3,8636,38.98688785,41.12773619,45.40943288,33.9008746584651,28.744493798871616,-0.375795673992131,-100.0,-100.0,1
