,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2755,13376712,1240340043,92.0,93.8,91.6,91.9,6615,88.7,94.6,54.23728814,43.74417183,40.09671757,32.80180905,0
1490,13022339,508097221,39.3,39.45,38.55,38.9,6297,38.5,45.8,5.479452055,14.17887632,22.05982333,37.82171734,1
2050,18048983,1739702649,95.0,97.4,94.5,95.6,8053,89.3,97.4,77.77777778,72.67099431,65.39010737,50.8283335,0
2371,22627899,1613739400,72.3,73.0,70.6,70.9,10300,69.2,73.5,39.53488372,67.27374713,68.56713773,71.15391891,1
2568,10604259,636749878,60.4,60.5,59.5,60.0,3916,59.5,64.0,11.11111111,13.93653568,21.50223014,36.63361905,0
1084,7007747,40414937,5.75,5.8,5.75,5.75,394,5.49,6.0,50.98039216,52.28981556,61.46769722,79.82346052,0
2770,19883526,1857313720,93.7,94.8,92.5,94.4,11533,92.2,104.0,18.6440678,22.87569809,32.32562419,51.22547637,0
1001,16916213,101292090,5.99,6.0,5.95,5.95,1133,3.99,6.27,85.96491228,90.25717491,90.8357843,91.99300307,0
2611,17574230,923794285,51.8,53.0,51.6,53.0,9266,48.0,55.9,63.29113924,38.75227533,27.88549061,6.151921175,0
150,10109417,233827469,22.85,23.4,22.8,23.1,2834,21.75,23.4,81.81818182,59.58504141,39.62178414,-0.304730401,0
909,1483196,5474839,3.6,3.77,3.6,3.77,262,3.53,3.88,68.57142857,40.26820653,34.34925027,22.51133776,0
1720,5472239,264586602,48.4,48.65,48.2,48.3,2785,46.95,50.6,36.98630137,43.58261736,52.00254124,68.84238899,1
1834,10961710,585446662,52.8,54.2,52.3,53.7,4407,51.0,54.2,84.375,63.731929,53.27446369,32.35953307,1
363,3933393,34682276,8.95,8.96,8.75,8.8,956,8.4,11.2,14.28571429,11.99547599,11.45650566,10.37856501,0
1067,10520252,50522586,4.79,4.93,4.79,4.8,723,4.1,5.1,70.0,75.59635849,69.38167546,56.95230942,0
1661,16007398,646106064,40.15,40.85,39.95,39.95,5431,39.25,41.3,34.14634146,41.08813471,47.67316182,60.84321605,0
2663,8798226,532301808,60.4,61.0,60.1,60.6,4860,56.9,61.0,90.24390244,72.82426363,55.58632988,21.11046238,1
2674,19266256,1352899078,71.5,72.4,69.2,69.3,9674,61.3,73.1,67.79661017,82.75608058,87.48746902,96.9502459,1
1121,8900913,70321682,7.99,8.27,7.83,8.27,620,7.83,8.89,41.50943396,44.65281925,58.84125248,87.21811892,0
2275,16381082,994749666,61.2,61.5,60.4,60.5,7523,60.4,63.3,3.448275862,40.97159807,51.74733968,73.2988229,1
353,2303586,26099837,11.3,11.4,11.25,11.4,754,11.05,12.1,33.33333333,41.65510354,43.43233534,46.98679895,0
2859,7295419,479813979,65.9,66.6,65.1,66.4,4559,64.3,69.0,44.68085106,37.38240643,37.20073151,36.83738168,0
2675,13434274,938086658,69.3,70.9,68.4,70.7,7321,63.1,73.1,76.0,80.50405372,85.15966392,94.47088433,1
2101,15151803,1189566132,78.0,79.4,77.8,78.7,6792,77.8,89.7,7.56302521,18.41675981,34.76853792,67.47209413,0
1031,8863148,35541201,4.01,4.01,4.01,4.01,496,4.01,4.9,0.0,21.9720295,33.61674537,56.90617711,0
2644,47270454,2956399693,61.7,63.3,61.2,62.3,21550,55.2,63.3,87.65432099,89.00597111,83.90626183,73.70684327,0
458,2221246,6530244,2.94,2.99,2.92,2.92,240,2.62,3.12,60.0,47.61105558,35.48019734,11.21848086,0
274,19612159,340823857,18.25,18.25,16.95,17.25,4590,16.25,19.3,32.78688525,57.91481663,66.21145108,82.80471999,0
1367,6860346,224907818,31.2,33.85,31.2,33.15,3386,31.15,38.5,27.21088435,16.40894768,14.71404171,11.32422976,0
1713,8024114,382393826,48.25,48.3,47.45,47.45,4342,44.55,49.2,62.3655914,70.69365939,73.0941496,77.89513002,1
1273,2453678,188677457,75.7,77.7,75.6,77.7,1656,75.6,80.5,42.85714286,34.94750336,41.00642457,53.12426699,0
1330,5542409,365710558,65.6,67.7,63.9,67.0,2664,63.9,70.3,48.4375,50.97906522,59.41592194,76.28963539,0
2218,6178206,320473442,52.3,52.4,51.5,51.7,3430,49.5,57.6,27.16049383,30.81724601,38.70763795,54.48842185,0
299,11493699,168038124,14.35,14.9,14.25,14.6,2840,14.0,16.65,22.64150943,17.25171468,20.00768357,25.51962137,0
1954,6950784,534592468,76.7,77.5,76.0,77.2,3815,69.6,78.6,84.44444444,61.4428369,44.11635506,9.463391382,0
1869,11978299,739222691,61.9,62.5,61.0,61.9,5111,59.7,64.0,51.1627907,31.5762068,30.54246221,28.47497303,0
2875,9860102,635257674,63.7,64.8,63.6,64.4,4707,62.5,67.3,39.58333333,29.4390529,30.89885565,33.81846115,0
613,852737,2131450,2.5,2.58,2.4,2.58,102,2.3,2.58,100.0,66.99119435,53.71528197,27.16345723,1
576,2204100,5122282,2.33,2.33,2.32,2.32,128,2.26,2.79,11.32075472,20.18543987,24.14786757,32.07272299,0
883,8311057,35680883,4.36,4.36,4.29,4.29,471,4.29,5.31,0.0,29.97597306,38.36156844,55.1327592,0
103,3832496,96340135,25.2,25.35,24.85,25.35,1276,24.0,26.45,55.10204082,70.21528436,70.01382366,69.61090227,0
427,1806820,7198503,3.93,4.08,3.93,3.98,280,3.66,4.26,53.33333333,51.17083869,43.6556841,28.62537493,0
327,8786894,122291457,14.5,14.6,13.5,13.55,2266,13.5,15.45,2.564102564,28.31143298,39.68476666,62.43143401,0
1444,2387924,90674929,38.2,38.3,37.65,37.7,1238,36.55,41.85,21.69811321,17.10197984,19.61555856,24.642716,0
918,4010649,16571467,4.1,4.2,4.1,4.2,319,3.61,4.2,100.0,84.17500963,74.83600397,56.15799263,1
1939,20239298,1745723669,86.8,87.5,85.1,86.0,10356,81.3,87.5,75.80645161,39.73139267,26.72600784,0.715238167,0
2226,17348222,972560684,55.4,56.6,55.4,56.4,6892,51.5,57.2,85.96491228,72.75949393,62.93611879,43.28936852,1
117,4874342,131350319,27.0,27.2,26.65,27.0,1484,25.2,27.3,85.71428571,80.62905999,78.1251308,73.11727241,1
1821,12654229,668588082,53.7,53.7,52.3,52.5,4610,50.5,55.0,44.44444444,65.3443194,64.97987466,64.25098518,1
1733,12237591,592625109,48.5,48.8,48.2,48.2,5222,45.75,49.1,73.13432836,50.73357567,38.56029451,14.21373218,1
1384,5031677,191951054,36.95,38.8,36.8,38.8,2591,32.8,42.35,62.82722513,62.99516908,66.20467455,72.6236855,1
1929,14497807,1276059466,88.0,89.1,87.3,87.8,7012,81.1,90.1,74.44444444,61.00864864,50.29011606,28.85305091,0
1136,9177373,73121166,8.0,8.0,7.8,7.8,580,7.44,8.4,37.5,40.4445921,42.46697891,46.51175252,0
1285,4088139,318151813,79.0,79.3,76.1,78.2,2165,76.1,79.7,58.33333333,53.82170614,49.4554748,40.72301213,0
263,21636558,361776447,16.8,16.9,16.6,16.6,3930,16.1,17.25,43.47826087,35.25752552,31.14333722,22.9149606,0
67,10801158,313975837,29.3,29.5,28.65,28.8,2809,28.65,31.8,4.761904762,13.43877187,20.80711296,35.54379513,1
2083,12341103,1017203454,82.6,83.3,81.2,83.0,5881,81.2,93.8,14.28571429,20.64666981,18.68010442,14.74697364,0
1885,6360878,405005444,64.1,64.3,63.4,63.5,3186,63.2,65.8,11.53846154,44.17080443,59.24628651,89.39725066,0
2138,16617681,958416698,56.5,58.7,56.2,57.5,7559,56.2,69.7,9.62962963,10.37843282,14.47354254,22.66376198,1
2836,14747835,1057717985,72.5,72.9,70.6,72.2,7737,70.6,78.1,21.33333333,23.18212556,21.7935324,19.01634607,1
1890,35892049,2445395761,64.9,69.9,64.9,68.0,13783,62.1,69.9,75.64102564,56.86484325,47.32035967,28.2313925,0
789,13666548,53709488,3.93,3.93,3.93,3.93,829,2.73,3.93,100.0,93.43276277,85.74350517,70.36498996,0
162,8171643,159932707,20.2,20.2,19.15,19.15,2192,19.15,23.05,0.0,5.568976176,11.53047633,23.45347664,0
692,400496,623198,1.55,1.56,1.55,1.56,87,1.53,1.75,13.63636364,32.81522211,40.63944769,56.28789886,0
2710,20617920,1805055077,90.3,90.8,85.6,86.2,11783,85.6,96.9,5.309734513,28.779587,45.32598205,78.41877216,1
2727,13868372,1249497468,90.0,90.8,89.4,89.9,7461,78.7,91.5,87.5,78.23139006,66.2280482,42.22136448,0
1766,14310794,648544314,45.3,45.6,44.8,45.5,5768,43.8,47.35,47.88732394,37.88661266,40.17528169,44.75261973,0
1994,12488858,911616104,74.0,74.7,72.2,72.7,5540,71.1,81.5,15.38461538,23.8751432,29.6271526,41.13117138,0
1995,12295536,877724975,69.8,73.7,68.6,73.3,6012,68.6,81.5,36.43410853,28.06146498,29.10525672,31.19284021,0
1921,19952060,1689078469,87.4,87.4,83.0,83.4,8590,83.0,90.5,5.333333333,25.16402563,32.53629986,47.2808483,1
472,1731473,4908394,2.81,2.84,2.81,2.84,184,2.3,2.84,100.0,60.70590116,37.86216092,-7.825319549,1
432,686294,2680987,3.94,3.94,3.68,3.93,176,3.51,4.15,65.625,40.35255713,35.74282373,26.52335693,0
179,2998621,58879382,19.8,19.9,19.5,19.6,1189,19.0,21.1,28.57142857,26.26288798,29.59894993,36.27107385,0
1930,13537460,1167123971,88.0,88.2,84.2,85.2,6863,81.1,90.1,45.55555556,55.85761761,52.14594991,44.72261452,0
2730,23109185,2248298405,95.8,99.3,94.7,98.4,13250,85.0,99.3,93.70629371,87.70664385,79.70590556,63.70442896,0
2798,19272126,1606416685,82.0,84.5,81.8,83.6,10162,74.4,84.5,91.08910891,82.528834,78.8301662,71.4328306,0
205,1944664,35826018,18.6,18.6,18.35,18.35,649,17.6,19.05,51.72413793,56.5002348,51.20782695,40.62301126,0
404,12237492,49051792,3.98,4.27,3.98,3.98,2116,3.98,5.15,0.0,2.589345733,4.716268772,8.97011485,0
1805,28026812,1486058110,51.4,54.6,51.3,53.6,9239,49.1,54.6,81.81818182,79.53771767,79.7719422,80.24039125,0
2400,22391580,1572247716,72.1,72.5,69.4,69.6,10816,69.4,83.1,1.459854015,6.413531322,14.94145648,31.99730679,1
1048,2886346,10939224,3.79,3.79,3.79,3.79,198,3.5,3.87,78.37837838,57.07022719,43.07145905,15.07392276,0
577,3328750,7190092,2.16,2.16,2.16,2.16,243,2.16,2.6,0.0,13.45695991,20.58423169,34.83877524,0
815,20036661,100004773,4.83,5.03,4.83,5.03,1189,3.74,5.03,100.0,93.99414565,87.14328805,73.44157287,0
688,729293,1260710,1.7,1.75,1.7,1.71,187,1.53,1.75,81.81818182,53.91115283,39.06400017,9.369694846,0
22,8239003,218092388,26.5,26.9,26.0,26.5,2131,25.7,29.5,21.05263158,13.31690898,12.47908611,10.80344038,0
716,456130,624772,1.42,1.42,1.35,1.35,77,1.2,1.57,40.54054054,61.10641766,63.31591683,67.73491515,0
857,13143830,83258466,6.28,6.34,6.28,6.34,765,5.49,6.34,100.0,64.01929651,48.08011704,16.2017581,1
1155,2115708,129518594,61.2,61.8,61.2,61.2,714,7.7,80.8,73.1874145,79.41396442,78.81132211,77.6060375,1
761,2502322,6859452,2.74,2.77,2.74,2.74,180,2.72,3.06,5.882352941,47.78757048,67.06634925,105.6239068,0
2890,13928225,885384028,63.4,64.0,62.6,63.7,7902,59.4,65.6,69.35483871,36.6950268,25.04813027,1.754337208,0
1042,10135173,36549358,3.5,3.75,3.5,3.75,688,3.5,4.25,33.33333333,23.92588252,25.67708432,29.17948792,0
2738,16624209,1497613840,92.3,92.4,88.6,88.6,8434,88.0,102.0,4.285714286,20.96056761,39.01573416,75.12606726,0
1652,5001356,197987122,39.7,39.9,39.4,39.5,2684,37.8,39.9,80.95238095,78.6901167,76.81639772,73.06895975,1
