,X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
9,9,1999/1/15,7878135,278774129,35.7,35.8,35.25,35.58,0.02499999999999858,2632,1,34.85,37.15,17.39130435,35.72957274,45.14693781,63.98166797
10,10,1999/1/18,3757621,132675453,35.2,35.5,35.1,35.605,7.105427357601002e-15,1249,1,35.1,37.15,9.756097561,27.07174768,39.12187444,63.22212795
11,11,1999/1/19,3537773,124564474,35.45,35.5,35.1,35.605000000000004,-0.04500000000000881,1105,0,35.1,37.15,0.0,18.04783179,32.09719355,60.19591709
12,12,1999/1/20,1862793,65573486,35.5,35.5,35.1,35.559999999999995,-0.02999999999999403,761,0,35.1,37.15,7.317073171,14.47091225,26.22176645,49.72347486
13,13,1999/1/21,3739820,130933075,35.2,35.25,34.8,35.53,-0.12000000000000455,1231,0,34.8,37.15,0.0,9.647274832,20.69693591,42.79625807
14,14,1999/1/22,4594399,157200875,34.5,34.6,34.0,35.41,-0.23000000000000398,1461,0,34.0,37.15,6.349206349,8.547918671,16.6472635,32.84595315
15,15,1999/1/25,2327421,79528992,33.9,34.5,33.9,35.17999999999999,-0.41499999999999204,809,0,33.9,36.5,11.53846154,9.544766294,14.27976443,23.7497607
16,16,1999/1/26,5154338,171772878,34.2,34.45,32.1,34.765,-0.33500000000000085,1834,0,32.1,35.95,6.493506494,8.527679694,12.36240285,20.03184917
17,17,1999/1/27,2720459,88272417,32.35,32.8,32.1,34.43,-0.26500000000000057,932,0,32.1,35.8,5.405405405,7.486921597,10.73724243,17.2378841
18,18,1999/1/28,2042827,66885747,32.4,32.95,32.4,34.165,-0.2600000000000051,838,0,32.1,35.5,23.52941176,12.83441832,11.43630106,8.640066547
19,19,1999/1/29,1661633,54017289,32.85,32.85,32.3,33.904999999999994,-0.2699999999999889,725,0,32.1,35.5,16.17647059,13.94843574,12.27367929,8.924166382
20,20,1999/2/1,1261385,41093512,32.9,32.9,32.45,33.635000000000005,-0.30000000000000426,527,0,32.1,35.5,14.70588235,14.20091795,12.91609217,10.34644063
21,21,1999/2/2,2569314,83517920,32.85,33.1,32.1,33.335,-0.3299999999999983,991,0,32.1,35.25,0.0,9.467278631,11.76648766,16.36490572
22,22,1999/2/3,1872256,59860598,32.4,32.4,31.75,33.005,-0.2600000000000051,727,0,31.75,34.6,7.01754386,8.650700374,10.7278919,14.88227495
23,23,1999/2/4,1062354,34012806,32.0,32.2,31.9,32.745,-0.36999999999999744,448,0,31.75,34.5,16.36363636,11.22167904,10.89248761,10.23410476
24,24,1999/2/5,2898427,89088701,31.6,31.6,30.2,32.375,-0.4250000000000007,1144,0,30.2,34.45,7.058823529,9.834060534,10.53967859,11.95091469
25,25,1999/2/6,3647657,107692248,30.5,30.8,28.6,31.95,-0.23000000000000043,1036,0,28.6,33.1,30.0,16.55604036,12.54513251,4.523316815
