X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2005,107/03/06,4929778,53083260.0,11.0,11.0,10.65,10.477,-0.2,1678,0,9.96,11.4,51.38888889,62.6364259,58.13991723,49.14689989,1
2006,107/03/07,2622953,28061789.0,10.7,10.85,10.6,10.555,-0.1,907,1,10.1,11.4,38.46153846,54.57813009,56.95265485,61.70170437,1
2007,107/03/08,2000586,21429965.0,10.65,10.8,10.65,10.605,0.05,729,1,10.1,11.4,42.30769231,50.48798416,54.79776462,63.41732554,1
2008,107/03/09,5063913,55353447.0,10.75,11.05,10.75,10.680000000000001,0.25,1257,1,10.1,11.4,61.53846154,54.17147662,54.58900195,55.42405262,1
2009,107/03/12,9854393,109998531.0,11.0,11.4,10.9,10.785,0.3,1927,0,10.35,11.4,80.95238095,63.09844473,57.42548288,46.07955917,1
2010,107/03/13,2591180,28796980.0,11.2,11.2,11.05,10.875,-0.15,1023,0,10.35,11.4,66.66666667,64.28785204,59.71293927,50.56311371,1
2011,107/03/14,2744060,30174786.0,11.05,11.15,10.9,10.93,-0.1,900,0,10.6,11.4,43.75,57.44190136,58.95592663,61.98397717,1
2012,107/03/15,2269241,24742045.0,10.95,11.0,10.85,10.885000000000002,-0.1,807,0,10.6,11.4,31.25,48.71126757,55.54104028,69.20058569,0
2013,107/03/16,2943867,31935345.0,10.95,10.95,10.8,10.86,-0.05,788,1,10.6,11.4,25.0,40.80751172,50.62986409,70.27456884,0
2014,107/03/19,4757510,52452440.0,10.85,11.15,10.85,10.865,0.15,1067,0,10.6,11.4,43.75,41.78834114,47.68268978,59.47138704,0
2015,107/03/20,2288075,25049997.0,10.95,11.0,10.9,10.885,-0.05,730,0,10.65,11.4,33.33333333,38.97000521,44.77846159,56.39537434,0
2016,107/03/21,2527270,27447834.0,10.9,11.0,10.8,10.905000000000001,-0.1,663,0,10.75,11.4,7.692307692,28.54410604,39.36700974,61.01281714,1
2017,107/03/22,3021340,32648901.0,10.85,10.95,10.7,10.91,-0.1,1004,0,10.7,11.4,0.0,19.02940402,32.58780783,59.70461545,1
2018,107/03/23,3973211,41245534.0,10.25,10.5,10.25,10.86,-0.3,1111,0,10.25,11.2,15.78947368,17.94942724,27.70834764,47.22618842,1
2019,107/03/26,2369754,24628647.0,10.45,10.5,10.35,10.775,-0.05,674,1,10.25,11.15,11.11111111,15.66998853,23.69556127,39.74670674,1
2020,107/03/27,2415564,25460511.0,10.6,10.65,10.45,10.715,0.1,742,0,10.25,11.15,22.22222222,17.85406643,21.74839632,29.53705611,1
2021,107/03/28,2004412,20952822.0,10.55,10.55,10.4,10.66,-0.05,679,0,10.25,11.15,16.66666667,17.45826651,20.31835305,26.03852614,1
2022,107/03/29,1753865,18251189.0,10.4,10.5,10.35,10.614999999999998,0,513,1,10.25,11.15,16.66666667,17.19439989,19.27703533,23.44230621,1
2023,107/03/30,5322367,55821751.0,10.45,10.55,10.4,10.58,0.05,896,1,10.25,11.0,26.66666667,20.35182215,19.63529761,18.20224851,1
2024,107/03/31,1997577,21103352.0,10.45,10.6,10.45,10.54,0.1,464,0,10.25,11.0,40.0,26.90121477,22.05726999,12.36938044,1
2025,107/04/02,2552077,26697683.0,10.55,10.6,10.4,10.49,-0.15,1200,0,10.25,10.95,21.42857143,25.07700032,23.06384677,19.03753966,1
2026,107/04/03,1894622,19689808.0,10.35,10.45,10.35,10.45,0,517,0,10.25,10.65,37.5,29.21800021,25.11523125,16.90969332,1
2027,107/04/09,2673965,27675118.0,10.4,10.45,10.3,10.415000000000001,-0.05,653,0,10.3,10.65,14.28571429,24.24057157,24.82367802,25.98989093,1
2028,107/04/10,1487646,15396387.0,10.35,10.4,10.3,10.41,0,670,0,10.3,10.65,14.28571429,20.92228581,23.52321395,28.72507024,1
2029,107/04/11,3366125,35055519.0,10.4,10.5,10.3,10.41,0,975,0,10.3,10.6,16.66666667,19.5037461,22.18339133,27.54268181,1
2030,107/04/12,2073286,21535891.0,10.4,10.45,10.35,10.4,0,747,1,10.3,10.6,16.66666667,18.55805295,20.97494521,25.80872971,1
2031,107/04/13,5441921,57553108.0,10.4,10.65,10.4,10.419999999999998,0.25,1020,0,10.3,10.65,85.71428571,40.94346387,27.6311181,1.00642654,0
2032,107/04/16,2370385,25053035.0,10.65,10.7,10.45,10.435,-0.05,692,0,10.3,10.7,62.5,48.12897592,34.46373737,7.133260275,0
2033,107/04/17,1875499,19498347.0,10.55,10.55,10.35,10.425,-0.2,641,0,10.3,10.7,12.5,36.25265061,35.06004178,32.67482413,0
2034,107/04/18,1958051,20272560.0,10.4,10.45,10.3,10.405000000000001,0,821,1,10.3,10.7,12.5,28.33510041,32.81839466,41.78498316,1
2035,107/04/19,2454100,25644467.0,10.4,10.55,10.35,10.41,0.1,831,0,10.3,10.7,37.5,31.39006694,32.34228542,34.24672238,1
2036,107/04/20,1806511,18761595.0,10.45,10.45,10.35,10.405,-0.1,546,0,10.3,10.7,12.5,25.09337796,29.92598293,39.59119288,1
2037,107/04/23,2916420,30047994.0,10.35,10.4,10.2,10.389999999999999,-0.15,686,0,10.2,10.7,0.0,16.72891864,25.5269615,43.12304722,1
2038,107/04/24,3025495,30729709.0,10.25,10.3,10.1,10.365,-0.1,811,0,10.1,10.7,0.0,11.15261243,20.73551181,39.90131057,1
2039,107/04/25,2307289,23265337.0,10.05,10.15,10.0,10.334999999999999,-0.05,772,0,10.0,10.7,7.142857143,9.816027332,17.09568365,31.65499629,1
2040,107/04/26,3850176,39200706.0,10.1,10.35,10.05,10.305,0,1064,0,10.0,10.7,7.142857143,8.924970602,14.37211263,25.2663967,1
2041,107/04/27,4935821,49450250.0,10.15,10.15,9.98,10.25,0,957,1,9.98,10.55,12.28070175,10.04354765,12.92925764,18.70067762,1
2042,107/04/30,7139857,73844776.0,10.15,10.45,10.15,10.225,0.25,1487,0,9.98,10.55,56.14035088,25.40914873,17.08922134,0.449366553,1
2043,107/05/02,5154819,53354775.0,10.35,10.45,10.3,10.22,0,1020,1,9.98,10.55,56.14035088,35.65288278,23.27710848,-1.474440105,0
2044,107/05/03,2465964,25616464.0,10.3,10.45,10.3,10.225,0.1,1065,0,9.98,10.45,89.36170213,53.55582256,33.37001318,-7.001605595,1
2045,107/05/04,2335312,24240051.0,10.4,10.4,10.35,10.215,-0.05,639,1,9.98,10.45,78.72340426,61.94501646,42.89501427,4.795009892,1
2046,107/05/07,8033638,84739886.0,10.4,10.65,10.4,10.22,0.05,1975,0,9.98,10.65,62.68656716,62.19220003,49.32740952,23.59782851,1
2047,107/05/08,2887532,30121392.0,10.4,10.5,10.35,10.24,0,1060,0,9.98,10.65,62.68656716,62.35698907,53.67060271,36.29782997,1
2048,107/05/09,4197619,43778537.0,10.45,10.5,10.35,10.265,-0.05,1026,0,9.98,10.65,55.2238806,59.97928625,55.77349722,47.36191916,1
2049,107/05/10,1997458,20791801.0,10.45,10.45,10.35,10.295,0,486,0,9.98,10.65,55.2238806,58.39415103,56.64704849,53.15284341,1
2050,107/05/11,2808255,29019709.0,10.4,10.4,10.3,10.32,-0.05,710,0,10.15,10.65,30.0,48.92943402,54.07451033,64.36466296,1
2051,107/05/14,17894369,173270262.0,10.0,10.0,9.48,10.276,-0.69,4253,1,9.48,10.65,11.11111111,36.32332638,48.15744902,71.82569428,0
2052,107/05/15,4280777,41252512.0,9.62,9.7,9.61,10.208,0.01,1155,0,9.48,10.65,11.96581197,28.20415491,41.50635098,68.11074312,1
2053,107/05/16,6798496,64683263.0,9.62,9.62,9.45,10.128,-0.12,1724,0,9.45,10.65,4.166666667,20.19165883,34.4014536,62.82104313,1
2054,107/05/17,7299156,68428634.0,9.5,9.51,9.27,10.017,-0.21,2161,0,9.27,10.65,1.449275362,13.94419767,27.58236829,54.85870952,1
2055,107/05/18,6610734,60768872.0,9.28,9.28,9.13,9.899,-0.12,1782,1,9.13,10.5,2.919708029,10.26936779,21.81136812,44.89536879,1
2056,107/05/21,6800095,62664891.0,9.19,9.26,9.18,9.777999999999999,0.02,1255,1,9.13,10.5,4.379562044,8.30609921,17.30961182,35.31663704,1
2057,107/05/22,6615303,62189660.0,9.29,9.49,9.27,9.68,0.23,1874,0,9.13,10.45,21.96969697,12.8606318,15.82661848,21.75859184,1
2058,107/05/23,3902725,36757996.0,9.4,9.5,9.4,9.585999999999999,-0.01,923,0,9.13,10.4,22.04724409,15.9228359,15.85869095,15.73040106,1
2059,107/05/24,3318757,31106070.0,9.38,9.43,9.31,9.488,-0.04,1234,1,9.13,10.0,27.5862069,19.81062623,17.17600271,11.90675567,1
2060,107/05/25,1628553,15276298.0,9.35,9.41,9.32,9.396,0.01,772,1,9.13,9.7,43.85964912,27.82696719,20.7263242,6.525038227,1
2061,107/05/28,9471876,91228227.0,9.38,9.82,9.38,9.41,0.37,2913,0,9.13,9.82,89.85507246,48.50300228,29.9852169,-7.050353874,0
2062,107/05/29,6308980,60296489.0,9.7,9.74,9.45,9.395999999999999,-0.27,1607,0,9.13,9.82,50.72463768,49.24354742,36.4046604,10.72688638,0
2063,107/05/30,4860368,45588611.0,9.49,9.49,9.32,9.388,-0.06,1323,1,9.13,9.82,42.02898551,46.83869345,39.88267142,25.97062736,0
2064,107/05/31,6621828,62690741.0,9.43,9.5,9.43,9.408000000000001,0.07,2335,0,9.18,9.82,48.4375,47.37162896,42.3789906,32.39371387,1
2065,107/06/01,4227749,40039815.0,9.46,9.53,9.42,9.440000000000001,0,1466,0,9.27,9.82,40.0,44.91441931,43.2241335,39.84356189,0
2066,107/06/04,7530209,70806112.0,9.47,9.47,9.37,9.463000000000001,-0.07,2162,0,9.31,9.82,21.56862745,37.13248869,41.19358523,49.31577832,0
2067,107/06/05,4146936,39029898.0,9.43,9.45,9.38,9.463000000000001,0,1153,1,9.31,9.82,21.56862745,31.94453494,38.11056847,50.44263552,1
2068,107/06/06,7075717,66872793.0,9.45,9.49,9.42,9.466999999999999,0.03,1346,1,9.32,9.82,26.0,29.9630233,35.39472008,46.25811364,1
2069,107/06/07,6497705,62006465.0,9.46,9.68,9.42,9.496,0.21,1818,0,9.32,9.82,68.0,42.64201553,37.81048523,28.14742463,0
2070,107/06/08,5663141,54474100.0,9.66,9.68,9.57,9.518,-0.06,1130,1,9.32,9.74,66.66666667,50.65023258,42.09040101,24.97073788,0
2071,107/06/11,2365281,22624338.0,9.6,9.61,9.52,9.504000000000001,0.01,705,1,9.32,9.68,80.55555556,60.61867357,48.26649186,23.56212845,1
