X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2014,107/03/06,36945780,9155812210,245.5,250.0,245.5,243.05,8.5,13977,0,238.5,250.5,95.83333333,68.58347515,60.59107445,44.60627306,0
2015,107/03/07,30391219,7525601638,248.0,248.5,246.0,244.1,-3,10521,1,238.5,250.5,70.83333333,69.33342788,63.50519226,51.84872103,0
2016,107/03/08,20645694,5172732531,249.5,251.5,249.0,244.8,2.5,8817,1,238.5,251.5,84.61538462,74.42741346,67.14593266,52.58297106,0
2017,107/03/09,22887063,5723277170,250.0,251.0,248.5,245.9,1,7050,1,238.5,251.5,92.30769231,80.38750641,71.55979057,53.90435891,0
2018,107/03/12,25100615,6370529728,252.0,255.0,251.5,246.8,3.5,10550,1,238.5,255.0,93.93939394,84.90480225,76.0081278,58.2147789,0
2019,107/03/13,34264883,8816553606,255.5,259.0,255.0,248.05,5,11700,0,238.5,259.0,100.0,89.93653483,80.65093014,62.07972077,0
2020,107/03/14,24254838,6220805864,256.5,257.5,255.5,249.15,-2,8518,0,238.5,259.0,90.24390244,90.0389907,83.78028366,71.26286959,0
2021,107/03/15,19396493,4965546715,258.0,258.0,255.0,250.35,-2,5945,0,240.5,259.0,78.37837838,86.15211993,84.57089575,81.4084474,0
2022,107/03/16,62989326,15930805360,253.0,256.0,249.5,251.85,0,18058,0,245.5,259.0,70.37037037,80.89153674,83.34444275,88.25025476,0
2023,107/03/19,22440766,5679567964,252.5,255.5,251.0,253.2,0,9888,0,246.0,259.0,69.23076923,77.00461424,81.23116658,89.68427126,0
2024,107/03/20,22335151,5640426203,253.0,254.0,251.5,253.5,-2,9334,0,248.5,259.0,42.85714286,65.62212378,76.02815231,96.84020938,0
2025,107/03/21,32977737,8325162114,255.0,255.0,251.0,254.05,-0.5,11575,0,248.5,259.0,38.0952381,56.44649522,69.50093328,95.60980941,0
2026,107/03/22,27000718,6797045014,254.5,254.5,249.5,254.25,-1,10475,0,249.5,259.0,21.05263158,44.64854067,61.21680241,94.35332589,1
2027,107/03/23,52974390,12994667867,245.0,247.0,244.0,253.7,-6.5,20513,0,244.0,259.0,6.666666667,31.987916,51.47384027,90.44568882,0
2028,107/03/26,39487945,9582954454,241.5,244.5,241.5,252.65,-1.5,11404,1,241.5,258.0,12.12121212,25.36568138,42.77112064,77.58199917,0
