X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2004,38982664,3059985329,78.0,80.3,76.4,77.5,22412,65.8,80.3,80.68965517,68.0866474,53.06732323,23.0286749,1
2005,14792934,1123551106,75.7,78.5,73.8,73.8,9193,65.8,80.3,55.17241379,63.78190287,56.63884978,42.3527436,1
2006,14206736,1073065603,74.9,77.4,73.6,74.6,8877,65.8,80.3,60.68965517,62.75115363,58.6762844,50.52654592,1
2007,8645100,624611300,74.0,74.0,70.9,71.0,5666,65.8,80.3,35.86206897,53.78812541,57.04689807,63.56444338,1
2008,11798536,827984376,71.6,72.7,68.9,69.1,7554,65.8,80.3,22.75862069,43.44495717,52.51291777,70.64883897,1
2009,14005906,1007681720,70.7,73.6,69.8,73.2,9040,65.8,80.3,51.03448276,45.97479903,50.33354486,59.0510365,1
2010,8400861,607301808,72.4,73.6,71.1,72.6,5480,65.8,80.3,46.89655172,46.28204993,48.98304655,54.38503978,1
2011,4342955,315940215,72.6,73.3,71.7,73.0,2895,68.9,80.3,35.96491228,42.84300405,46.93636571,55.12308905,1
2012,4482217,323312148,73.4,73.5,71.5,71.7,2893,68.9,80.3,24.56140351,36.7491372,43.54062288,57.12359423,1
2013,10819321,796520999,72.0,74.7,71.2,73.8,7079,68.9,78.5,51.04166667,41.51331369,42.86485315,45.56793206,0
2014,8243032,612345468,73.6,75.2,73.0,74.0,5157,68.9,77.4,60.0,47.67554246,44.46841625,38.05416384,1
2015,8522737,639827580,74.8,76.7,73.5,73.5,5471,68.9,76.7,58.97435897,51.44181463,46.79288238,37.49501787,1
2016,6265102,455815044,74.0,74.4,71.7,72.0,4061,68.9,76.7,39.74358974,47.54240634,47.0427237,46.04335842,1
2017,6526569,455616699,68.6,71.0,68.6,71.0,4222,68.6,76.7,29.62962963,41.57148077,45.21897605,52.51396663,1
2018,4106494,289176422,70.8,71.7,69.5,69.5,2607,68.6,76.7,11.11111111,31.41802421,40.61865877,59.01992789,1
2019,4393418,312948316,70.9,72.0,70.7,70.9,2572,68.6,76.7,28.39506173,30.41037005,37.21589587,50.8269475,1
2020,3932282,273504999,70.2,70.8,68.8,69.3,2923,68.6,76.7,8.641975309,23.15423847,32.52867674,51.27755326,1
2021,2454717,170511631,69.8,70.2,68.8,69.4,2062,68.6,76.7,9.87654321,18.72834005,27.92856451,46.32901342,0
2022,2569040,180383213,70.4,71.2,69.7,69.7,1708,68.6,76.7,13.58024691,17.01230901,24.28981267,38.84482001,1
