date,real_close,predict_close,predict_result
107/05/14,37.6,37.636948,1.0
107/05/15,39.95,38.041416,1.0
107/05/16,41.5,39.64941,1.0
107/05/17,41.2,40.85483,1.0
107/05/18,40.35,40.902428,0.0
107/05/21,39.8,40.46425,0.0
107/05/22,39.35,39.824715,0.0
107/05/23,39.35,39.339436,0.0
107/05/24,39.35,39.19213,0.0
107/05/25,39.4,39.19025,0.0
107/05/28,39.4,38.930748,0.0
107/05/29,39.0,38.89473,0.0
107/05/30,38.65,38.836746,0.0
107/05/31,38.75,38.76532,0.0
107/06/01,39.45,38.71496,1.0
107/06/04,39.75,39.25936,1.0
107/06/05,39.45,39.82617,0.0
107/06/06,39.8,39.692802,1.0
107/06/07,39.5,39.877243,0.0
107/06/08,39.7,39.78039,1.0
107/06/11,39.8,39.917454,1.0
107/06/12,39.8,40.176453,1.0
107/06/13,39.5,40.30021,0.0
107/06/14,39.3,40.046062,0.0
107/06/15,39.1,39.452797,0.0
107/06/19,39.35,39.104534,1.0
107/06/20,39.6,39.479958,1.0
107/06/21,42.0,40.010418,1.0
107/06/22,41.35,41.41433,1.0
107/06/25,40.6,41.64821,0.0
107/06/26,41.05,41.060555,0.0
107/06/27,40.2,40.918865,0.0
107/06/28,40.15,40.51521,0.0
107/06/29,40.75,40.256947,1.0
107/07/02,40.45,40.474415,0.0
107/07/03,39.85,40.443752,0.0
107/07/04,39.95,39.910828,1.0
107/07/05,39.55,39.913925,0.0
107/07/06,39.05,39.75578,0.0
107/07/09,39.75,39.461433,1.0
107/07/10,39.6,39.668205,1.0
107/07/11,39.65,39.85131,1.0
107/07/12,40.0,39.878944,1.0
107/07/13,40.1,40.08704,1.0
107/07/16,39.95,40.449116,1.0
107/07/17,39.7,40.528526,0.0
107/07/18,39.55,40.247406,0.0
107/07/19,39.5,40.00827,0.0
107/07/20,39.4,39.72394,0.0
107/07/23,39.55,39.474075,1.0
107/07/24,39.6,39.64936,1.0
107/07/25,39.95,39.84928,1.0
107/07/26,40.5,40.38169,1.0
107/07/27,40.2,40.984455,0.0
107/07/30,39.95,40.75755,0.0
107/07/31,39.75,40.387756,0.0
107/08/01,39.8,40.056496,0.0
107/08/02,39.75,40.009243,0.0
107/08/03,40.15,40.00027,1.0
107/08/06,41.0,40.34423,1.0
107/08/07,41.2,40.979668,1.0
107/08/08,41.15,41.354866,1.0
107/08/09,40.7,41.38506,0.0
107/08/10,41.0,41.02535,1.0
107/08/13,39.75,41.101055,0.0
107/08/14,39.7,40.21737,0.0
107/08/15,39.25,39.69218,0.0
107/08/16,39.45,39.252434,1.0
107/08/17,39.3,39.3273,1.0
107/08/20,39.1,39.350998,0.0
107/08/21,38.85,39.2489,0.0
107/08/22,39.35,39.00838,1.0
107/08/23,39.65,39.160896,1.0
107/08/24,39.6,39.647854,1.0
107/08/27,40.7,40.082253,1.0
107/08/28,40.7,40.654545,1.0
107/08/29,41.25,40.8335,1.0
107/08/30,41.6,41.20404,1.0
107/08/31,41.8,41.580967,1.0
107/09/03,41.75,41.832874,1.0
107/09/04,41.4,41.923466,0.0
107/09/05,37.0,41.635483,0.0
107/09/06,36.7,38.960094,0.0
107/09/07,36.2,37.44385,0.0
107/09/10,35.35,36.809395,0.0
107/09/11,36.05,36.465656,0.0
107/09/12,35.95,36.45207,1.0
107/09/13,36.7,36.49563,1.0
107/09/14,37.0,36.733383,1.0
107/09/17,36.5,37.033794,1.0
107/09/18,36.95,37.423615,1.0
107/09/19,37.25,37.78894,1.0
107/09/20,37.4,37.947243,1.0
107/09/21,37.8,38.066223,1.0
107/09/25,37.15,38.199806,0.0
107/09/26,37.35,37.974274,0.0
107/09/27,37.4,37.867695,0.0
107/09/28,37.75,37.854874,1.0
107/10/01,37.75,38.21412,1.0
107/10/02,37.35,38.396084,0.0
107/10/03,36.95,37.99005,0.0
107/10/04,36.9,37.438263,0.0
107/10/05,36.3,37.390457,1.0
107/10/08,36.15,37.41134,0.0
107/10/09,36.25,37.217247,0.0
107/10/11,34.0,37.06734,0.0
107/10/12,34.15,36.482037,0.0
107/10/15,33.4,35.88084,0.0
107/10/16,33.65,35.2048,0.0
107/10/17,33.15,34.7842,0.0
107/10/18,33.0,34.4883,0.0
107/10/19,31.4,34.23585,0.0
107/10/22,31.4,33.787277,0.0
107/10/23,31.3,33.290295,0.0
107/10/24,31.2,32.853558,0.0
107/10/25,30.1,32.52093,0.0
107/10/26,30.25,32.048546,0.0
107/10/29,29.15,31.746038,0.0
107/10/30,29.15,31.287346,0.0
107/10/31,30.1,30.799255,0.0
107/11/01,30.6,30.667742,1.0
107/11/02,31.0,31.008356,1.0
107/11/05,31.1,31.559418,1.0
107/11/06,31.0,32.048286,1.0
107/11/07,31.2,32.292397,1.0
107/11/08,31.5,32.457153,1.0
107/11/09,30.6,32.64909,0.0
107/11/12,30.5,32.559536,0.0
107/11/13,30.5,32.276276,0.0
107/11/14,30.5,32.00378,0.0
107/11/15,30.85,31.907646,1.0
107/11/16,31.45,32.0678,1.0
107/11/19,32.05,32.5939,1.0
107/11/20,31.7,33.095325,1.0
107/11/21,31.7,33.1969,0.0
107/11/22,31.75,33.158863,1.0
107/11/23,31.6,33.179016,0.0
107/11/26,31.4,33.169132,0.0
107/11/27,31.25,33.047916,0.0
107/11/28,32.35,32.911285,1.0
107/11/29,32.25,33.356953,1.0
107/11/30,32.35,33.65781,1.0
107/12/03,32.9,33.813587,1.0
107/12/04,32.6,34.107582,1.0
107/12/05,32.5,34.129723,0.0
107/12/06,32.15,34.003834,0.0
107/12/07,32.15,33.77462,0.0
107/12/10,31.75,33.646862,0.0
107/12/11,31.85,33.38126,0.0
107/12/12,32.1,33.15268,1.0
107/12/13,33.0,33.209812,1.0
107/12/14,33.95,34.025932,1.0
107/12/17,34.35,34.74272,1.0
107/12/18,32.8,35.300114,0.0
107/12/19,32.75,34.771984,0.0
107/12/20,33.0,34.0231,0.0
107/12/21,33.0,33.589928,0.0
107/12/22,34.3,33.43545,1.0
107/12/24,34.4,34.08268,1.0
107/12/25,33.9,34.718903,0.0
107/12/26,33.4,34.702156,0.0
107/12/27,33.45,34.37968,0.0
107/12/28,33.5,34.195644,0.0
108/01/02,33.8,34.12032,1.0
108/01/03,34.1,34.290653,1.0
108/01/04,34.8,34.64685,1.0
108/01/07,35.2,35.567104,1.0
108/01/08,34.75,36.088036,0.0
108/01/09,35.2,35.800255,0.0
108/01/10,35.25,35.77384,1.0
108/01/11,34.8,35.797913,0.0
108/01/14,34.8,35.508327,0.0
108/01/15,35.1,35.170116,1.0
108/01/16,34.9,35.23264,0.0
108/01/17,34.9,35.212536,1.0
108/01/18,34.8,35.22069,1.0
108/01/21,34.8,35.237957,1.0
108/01/22,34.5,35.284046,0.0
108/01/23,34.5,35.16586,1.0
108/01/24,34.3,35.192062,0.0
108/01/25,34.35,35.019176,0.0
108/01/28,34.85,34.900536,1.0
108/01/29,34.9,35.44419,1.0
108/01/30,34.7,35.87166,0.0
108/02/11,34.7,35.870457,0.0
108/02/12,34.75,35.746735,0.0
108/02/13,34.85,35.73381,1.0
108/02/14,34.65,35.914307,0.0
108/02/15,34.4,35.733093,0.0
108/02/18,35.2,35.28056,1.0
108/02/19,34.95,36.076843,1.0
108/02/20,35.05,36.27491,1.0
108/02/21,34.9,36.325024,0.0
108/02/22,35.0,36.111416,1.0
108/02/25,34.85,36.117992,0.0
108/02/26,34.7,35.953354,0.0
108/02/27,34.7,35.696297,0.0
108/03/04,34.95,35.59621,1.0
108/03/05,35.0,35.883545,1.0
108/03/06,34.95,36.08353,1.0
108/03/07,34.7,36.15606,0.0
108/03/08,34.7,35.745773,0.0
108/03/11,34.45,35.475628,0.0
108/03/12,34.05,35.29736,1.0
108/03/13,34.45,35.372204,1.0
108/03/14,34.9,35.65704,1.0
108/03/15,35.4,36.118576,1.0
108/03/18,35.3,36.562706,0.0
108/03/19,35.05,36.43476,0.0
108/03/20,35.25,35.67761,0.0
108/03/21,34.95,35.575302,0.0
108/03/22,34.85,35.319813,0.0
108/03/25,35.05,35.214752,1.0
108/03/26,35.15,35.354843,1.0
108/03/27,35.05,35.453773,1.0
108/03/28,34.95,35.494347,1.0
108/03/29,35.3,35.503822,1.0
108/04/01,35.2,36.24884,1.0
108/04/02,35.1,36.484688,0.0
108/04/03,35.3,36.30515,1.0
