volume,price,open,high,low,close,times
30391219,7525601638,248.0,248.5,246.0,247.0,10521
20645694,5172732531,249.5,251.5,249.0,249.5,8817
22887063,5723277170,250.0,251.0,248.5,250.5,7050
25100615,6370529728,252.0,255.0,251.5,254.0,10550
34264883,8816553606,255.5,259.0,255.0,259.0,11700
24254838,6220805864,256.5,257.5,255.5,257.0,8518
19396493,4965546715,258.0,258.0,255.0,255.0,5945
62989326,15930805360,253.0,256.0,249.5,255.0,18058
22440766,5679567964,252.5,255.5,251.0,255.0,9888
22335151,5640426203,253.0,254.0,251.5,253.0,9334
32977737,8325162114,255.0,255.0,251.0,252.5,11575
27000718,6797045014,254.5,254.5,249.5,251.5,10475
52974390,12994667867,245.0,247.0,244.0,245.0,20513
39487945,9582954454,241.5,244.5,241.5,243.5,11404
31100260,7732298021,248.0,251.0,247.0,251.0,11698
29924411,7349468217,247.5,248.0,244.0,245.0,13041
36427345,8888435870,243.0,247.0,242.5,244.0,12832
16996346,4212690462,247.5,249.5,246.0,246.0,7578
3603912,893664176,247.5,249.0,246.5,247.5,2409
19029003,4702581241,248.5,249.0,245.0,246.5,6951
35813944,8710200224,243.0,244.5,242.0,244.0,13270
35465824,8716801768,248.0,248.0,243.5,245.0,12437
25268994,6231896018,244.5,249.0,243.5,245.5,11912
21777935,5391978180,246.5,248.5,246.5,248.0,8813
20476657,5028226522,248.5,248.5,244.0,245.0,6898
19946548,4885963546,246.0,246.0,244.0,244.5,5549
21608528,5251556179,243.0,244.0,242.0,243.5,8436
42756389,10232256860,243.0,243.5,237.5,238.0,18381
44768048,10668587090,239.5,241.5,236.5,238.0,12132
33230989,8081404960,242.0,244.5,241.0,244.5,10987
129890087,29837344632,228.0,231.5,228.0,229.0,46349
71901975,16282275410,226.5,227.5,225.0,226.5,22048
45206892,10233860296,225.0,227.5,225.0,227.0,13970
48975110,11032111105,225.5,226.0,224.0,225.0,15136
48176657,10766085521,225.0,225.5,221.0,222.0,16253
34443459,7679131764,225.0,225.5,221.0,223.5,10859
28500789,6448117416,224.5,228.0,222.5,227.0,9480
38436942,8633492540,227.0,227.5,222.5,223.0,11445
33507731,7399813831,221.0,222.5,220.0,220.5,12287
28477722,6330594053,221.0,224.0,220.5,223.0,8445
23751759,5309421525,225.0,225.5,221.5,223.5,8951
40324763,9146327464,224.0,228.5,223.5,228.0,13229
35597934,8188991070,228.5,232.0,228.5,229.5,12616
27530377,6337230710,231.0,231.5,229.0,229.5,11051
30693910,7138428530,232.0,234.0,230.5,233.0,11920
23577637,5502726121,234.5,234.5,232.5,233.0,7666
23771769,5493470187,233.5,234.0,229.5,230.5,7810
14834107,3408682013,229.5,230.5,228.5,230.5,5398
27702737,6322484836,231.0,231.5,226.5,226.5,8428
28187541,6327474145,225.5,227.5,223.5,223.5,9720
16417815,3751438835,225.0,230.0,225.0,229.0,7591
22422097,5175634112,230.0,233.5,229.0,229.0,6963
26737899,6146178621,231.5,231.5,228.5,228.5,5059
13450610,3082675140,229.5,230.0,228.5,229.0,4240
16486294,3769909946,228.5,229.5,228.0,228.5,5474
17673270,4020203060,229.5,230.0,226.5,227.0,7239
25770776,5782293276,226.5,226.5,223.5,225.0,11400
49667788,10997306304,224.0,224.0,220.5,221.0,21406
96587458,21553655265,221.5,224.0,220.5,224.0,12737
36652094,8209412370,224.5,226.5,224.0,224.0,7627
31257480,7131988670,227.5,229.0,227.0,229.0,9746
27714384,6329201896,230.0,230.0,226.5,229.0,8509
30375441,6961135060,229.0,230.0,227.0,230.0,9758
25277266,5809345446,231.0,231.5,228.0,230.0,9146
24192851,5493234408,229.0,229.0,226.0,227.0,7775
22028933,4980629259,226.5,227.0,225.0,226.0,6726
30189360,6837374510,225.0,229.0,224.0,229.0,8281
36081120,8311856296,229.0,232.0,228.0,232.0,10687
36932041,8423126398,230.0,230.0,226.5,226.5,12252
49506679,11291127719,225.0,231.0,224.0,231.0,10090
61142624,13754800554,225.5,226.0,224.0,225.0,19088
40708701,9175159127,224.5,227.5,223.5,226.0,13262
32572707,7379769339,227.5,228.0,226.0,226.5,9421
44211409,9994644852,224.5,227.5,224.0,227.5,14388
49058211,10749795782,220.0,220.5,218.0,218.0,17959
43080346,9242648746,215.5,216.0,212.5,214.5,15639
40863414,8742004301,216.0,216.0,212.5,213.0,12681
38816780,8231075920,211.0,214.5,210.0,212.0,10772
36848680,7919779720,212.0,217.0,212.0,216.5,8652
33496442,7257081470,218.5,219.0,214.0,214.0,8508
28663220,6173115899,215.5,218.0,213.5,214.5,7758
15359295,3324927032,217.0,217.5,215.5,216.0,5434
18225416,3904832940,214.0,215.0,213.0,214.5,5581
31344962,6779063394,217.5,217.5,215.0,217.0,8620
41165793,9100880393,219.5,223.0,218.5,221.5,14795
20196957,4498264914,223.0,224.0,222.0,222.0,6922
19854690,4355547100,220.0,220.0,218.0,220.0,7437
23806051,5246628771,218.0,222.0,218.0,220.5,7885
30419311,6799894334,222.5,224.5,222.5,224.5,11723
16107254,3612296896,224.5,225.0,223.5,223.5,6321
22554436,5003028272,222.5,223.5,221.0,221.5,8636
45802658,10221407834,223.0,224.0,222.0,223.0,12139
43976216,9930715930,225.5,227.0,224.5,224.5,12076
103652023,24367904428,235.0,237.5,233.0,237.5,39544
52269877,12621500480,239.0,245.0,238.5,241.0,19777
27468267,6599675515,240.0,241.5,238.5,241.0,10574
21530312,5173924310,239.0,241.0,239.0,240.5,8491
30856388,7435261120,241.0,242.5,239.5,241.0,10235
27129646,6605479210,242.0,244.5,241.0,244.5,12493
22803730,5585710909,244.5,245.5,244.0,245.5,9953
28202542,6912550610,243.5,246.0,242.0,246.0,9460
29777161,7375488342,247.0,248.0,246.5,248.0,11667
22775110,5611725541,249.0,249.5,243.5,244.5,10343
25165097,6205758662,246.0,248.0,245.0,247.0,9585
22364568,5487396854,245.0,247.0,244.0,245.5,9732
24352418,5922738042,245.0,245.5,241.5,241.5,9665
24382432,6011480272,245.0,247.5,244.5,247.5,10247
15128655,3740736404,247.0,248.0,246.0,247.0,7127
16125492,3961311040,246.5,247.0,244.5,245.0,6558
17881194,4302280285,241.5,243.0,239.0,240.5,9875
17488913,4262753253,245.0,245.0,242.5,243.5,7415
19236321,4642117523,244.5,244.5,239.5,241.5,8920
19155966,4587260340,238.0,241.5,238.0,239.0,9397
19634474,4707354383,239.5,241.0,239.0,239.5,6680
