,X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
9,9,1999/1/15,3496782,215551787,61.5,62.3,61.0,61.739999999999995,-0.03999999999999204,1097,0,60.0,62.8,82.14285714,60.71658405,53.64416881,39.49933832
10,10,1999/1/18,3831742,238848704,62.0,62.9,61.8,61.7,-0.030000000000001137,1060,0,60.0,62.9,79.31034483,66.91450431,58.06761397,40.3738333
11,11,1999/1/19,2672354,166156307,62.8,62.8,61.9,61.67,-0.04999999999999716,877,0,60.0,62.9,86.20689655,73.34530172,63.16017656,42.78992622
12,12,1999/1/20,3605169,223837438,61.9,62.5,61.8,61.620000000000005,0.19999999999998863,1244,1,60.0,62.9,68.96551724,71.88537356,66.06857556,54.43497955
13,13,1999/1/21,4065941,253443211,62.0,62.8,61.8,61.81999999999999,0.13000000000000966,1140,1,60.5,62.9,87.5,77.09024904,69.74246672,55.04690207
14,14,1999/1/22,3956059,245255532,61.7,62.4,61.7,61.95,0.03999999999999204,1459,1,60.9,62.9,50.0,68.06016603,69.18169982,71.42476741
15,15,1999/1/25,2861067,176125717,61.5,62.3,61.4,61.989999999999995,-0.0899999999999963,890,0,61.0,62.9,42.10526316,59.40853174,65.92397713,78.95486791
16,16,1999/1/26,6269383,381530563,62.2,62.2,60.4,61.9,0.060000000000002274,2267,1,60.4,62.9,24.0,47.60568783,59.81788069,84.24226643
17,17,1999/1/27,6163188,378463738,60.8,62.5,60.5,61.96,-0.0800000000000054,1665,0,60.4,62.9,52.0,49.07045855,56.23540665,70.56530284
18,18,1999/1/28,4507928,274443613,62.5,62.5,60.7,61.879999999999995,-0.03999999999999915,1883,0,60.4,62.9,12.0,36.71363903,49.72815077,75.75717426
19,19,1999/1/29,9365763,572204395,60.7,62.0,60.3,61.839999999999996,-0.13999999999999346,2339,0,60.3,62.8,64.0,45.80909269,48.42179808,53.64720886
20,20,1999/2/1,5107312,309582126,61.8,61.8,60.2,61.7,-0.22000000000000597,1877,0,60.2,62.8,26.92307692,39.5137541,45.45245009,57.32984206
21,21,1999/2/2,5889696,357321757,60.9,61.3,60.0,61.48,-0.10000000000000142,2514,0,60.0,62.8,10.71428571,29.9139313,40.27294383,60.99096887
22,22,1999/2/3,5256939,319865790,60.5,61.2,60.4,61.379999999999995,-0.0799999999999983,1535,0,60.0,62.5,40.0,33.2759542,37.94061395,47.26993345
23,23,1999/2/4,5139744,314359455,60.8,61.9,60.5,61.3,-0.09000000000000341,1779,0,60.0,62.5,72.0,46.18396947,40.68839912,29.69725843
24,24,1999/2/5,7786139,475938639,60.9,61.8,60.6,61.209999999999994,-0.009999999999990905,1849,0,60.0,62.5,40.0,44.12264631,41.83314819,37.25415194
25,25,1999/2/6,4006538,246996685,61.0,62.0,61.0,61.2,-0.07000000000000739,1445,0,60.0,62.5,68.0,52.08176421,45.24935353,31.58453217
26,26,1999/2/8,5449293,330398173,61.7,61.7,60.1,61.129999999999995,-0.1700000000000017,1912,0,60.0,62.5,12.0,38.72117614,43.0732944,51.77753092
27,27,1999/2/9,10420880,624242600,60.2,60.5,59.5,60.959999999999994,-0.06999999999999318,2831,0,59.5,62.0,20.0,32.48078409,39.54245763,53.6658047
28,28,1999/2/10,5813989,347042726,60.0,60.0,59.3,60.89,-0.2599999999999909,1768,0,59.3,62.0,25.92592593,30.29583137,36.46024888,48.78908389
29,29,1999/2/22,10721494,637860981,60.6,60.6,58.9,60.63000000000001,-0.11000000000001364,3967,0,58.9,62.0,12.90322581,24.49829618,32.47293131,48.42220157
30,30,1999/2/23,2913333,173491040,59.9,59.9,59.2,60.519999999999996,-0.06999999999999318,1085,0,58.9,62.0,29.03225806,26.00961681,30.31849314,38.93624581
31,31,1999/2/24,3468380,207118081,59.6,60.0,59.4,60.45,-0.12000000000000455,1435,0,58.9,62.0,22.58064516,24.86662626,28.50120418,35.77036003
32,32,1999/2/25,5075362,303710204,59.6,60.2,59.5,60.33,-0.1699999999999946,1444,0,58.9,62.0,29.03225806,26.2551702,27.75252619,30.74723817
33,33,1999/2/26,2288446,137230607,59.5,60.2,59.5,60.160000000000004,-0.060000000000002274,838,0,58.9,62.0,38.70967742,30.4066726,28.63724166,25.09837977
34,34,1999/3/1,6198350,377954124,60.4,61.4,60.2,60.1,-0.030000000000008242,2013,0,58.9,61.7,53.57142857,38.12825793,31.80091375,19.14622539
35,35,1999/3/2,15527275,946613694,60.7,61.4,60.5,60.06999999999999,0.020000000000003126,1544,1,58.9,61.4,100.0,58.75217195,40.78466648,4.849655545
36,36,1999/3/3,3400106,205655605,61.4,61.4,60.2,60.089999999999996,-0.02999999999999403,1062,0,58.9,61.4,64.0,60.50144797,47.35692698,21.067885
37,37,1999/3/4,5738507,343487415,60.2,60.3,59.5,60.06,0.03999999999999915,1997,1,58.9,61.4,32.0,51.00096531,48.57160642,43.71288864
38,38,1999/3/5,2727568,164309627,60.0,60.6,59.7,60.1,0.07999999999999119,654,1,59.2,61.4,54.54545455,52.18246172,49.77522486,44.96075112
39,39,1999/3/8,3275248,196899280,60.7,60.8,59.9,60.17999999999999,0.0800000000000125,1336,1,59.4,61.4,35.0,46.45497448,48.66847473,53.09547523
40,40,1999/3/9,5283958,319121763,60.7,60.9,60.0,60.260000000000005,0.0899999999999963,1532,1,59.5,61.4,57.89473684,50.2682286,49.20172602,47.06872086
41,41,1999/3/10,2803455,169438686,60.8,60.8,60.2,60.35,0.020000000000003126,744,1,59.5,61.4,52.63157895,51.05601205,49.81982136,47.34743999
42,42,1999/3/11,4792706,287869560,60.5,60.6,59.9,60.370000000000005,0.01999999999999602,1447,1,59.5,61.4,26.31578947,42.80927119,47.48297131,56.83037154
43,43,1999/3/12,4741815,285088753,60.4,60.5,59.9,60.39,0.0,1751,0,59.5,61.4,42.10526316,42.57460185,45.84684815,52.39134077
44,44,1999/3/15,5753120,346240916,60.3,60.4,60.0,60.39,-0.14000000000000057,1097,0,59.5,61.4,47.36842105,44.17254158,45.28874596,47.52115472
45,45,1999/3/16,4084583,244940049,60.2,60.2,59.9,60.25,-0.009999999999990905,992,0,59.5,60.9,35.71428571,41.35312296,43.97687163,49.22436897
46,46,1999/3/17,7435993,447191272,60.5,60.5,59.9,60.24000000000001,0.05999999999998806,2190,1,59.7,60.9,58.33333333,47.01319308,44.98897878,40.94055017
47,47,1999/3/18,6649061,399847265,60.0,60.4,59.9,60.3,0.03999999999999915,1854,1,59.9,60.9,40.0,44.67546206,44.88447321,45.3024955
48,48,1999/3/19,7738862,467832348,60.3,60.9,60.1,60.339999999999996,0.05000000000000426,1726,1,59.9,60.9,90.0,59.78364137,49.85086259,29.98530504
49,49,1999/3/22,6004956,363262833,60.8,60.8,60.3,60.39,-0.020000000000010232,1632,0,59.9,60.9,70.0,63.18909425,54.29693981,36.51263094
50,50,1999/3/23,4760015,287789699,60.6,60.6,60.2,60.36999999999999,0.05000000000000426,1731,1,59.9,60.9,50.0,58.7927295,55.79553637,49.80115013
51,51,1999/3/24,8781592,531863028,60.5,61.1,60.3,60.419999999999995,0.04999999999999716,2214,1,59.9,61.1,91.66666667,69.75070855,60.44726043,41.84036419
52,52,1999/3/25,4918792,297070951,60.3,60.7,60.2,60.46999999999999,0.010000000000012221,2021,1,59.9,61.1,50.0,63.16713904,61.35388663,57.72738183
53,53,1999/3/26,6602071,398175766,60.0,60.7,59.8,60.480000000000004,0.0,2086,0,59.8,61.1,46.15384615,57.49604141,60.06793823,65.21173186
54,54,1999/3/29,4060043,244987971,60.5,60.6,60.2,60.480000000000004,0.01999999999999602,1814,1,59.8,61.1,46.15384615,53.71530966,57.95039537,66.4205668
55,55,1999/3/30,6685094,402378443,60.4,60.4,60.0,60.5,-0.060000000000002274,1660,0,59.8,61.1,30.76923077,46.06661669,53.98913581,69.83417405
56,56,1999/3/31,7827229,470123306,60.6,60.6,59.8,60.44,-0.03999999999999915,1654,0,59.8,61.1,0.0,30.7110778,46.22978314,77.26719383
57,57,1999/4/1,8673867,520041014,60.3,60.4,59.7,60.4,-0.06999999999999318,2605,0,59.7,61.1,14.28571429,25.23595663,39.23184097,67.22360965
58,58,1999/4/2,4182974,250866540,60.3,60.3,59.8,60.330000000000005,-0.060000000000002274,818,0,59.7,61.1,28.57142857,26.34778061,34.93715418,52.11590133
