X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2892,35921612,1250539629,34.6,35.6,34.2,35.4,16489,34.0,36.85,49.12280702,54.38237517,47.54335946,33.86532805
2893,26197644,926900403,35.2,35.85,34.75,35.65,11392,34.2,36.85,54.71698113,54.49391049,49.86020981,40.59280844
2894,23492679,851236944,35.95,36.75,35.8,36.0,10490,34.2,36.85,67.9245283,58.9707831,52.89706757,40.74963652
2895,27762616,1022877641,36.45,37.25,36.2,37.15,13210,34.2,37.25,96.72131148,71.55429256,59.11614256,34.23984258
2896,18258586,672835574,36.8,37.3,36.35,37.3,8782,34.2,37.3,100.0,81.03619504,66.42282672,37.19609009
2897,51979452,1984163319,37.7,38.65,37.25,38.45,20180,34.2,38.65,95.50561798,85.85933602,72.90166315,46.98631743
2898,61398566,2339334364,38.0,38.75,37.65,38.1,22489,34.2,38.75,85.71428571,85.81098592,77.20477074,59.99234039
2899,50107222,1960099054,38.45,39.5,38.2,39.2,23106,34.2,39.5,94.33962264,88.65386482,81.02113544,65.75567666
2900,30195388,1190839490,39.6,39.9,39.1,39.2,14775,34.2,39.9,87.71929825,88.34234263,83.46153783,73.69992824
2901,33559433,1347000359,39.7,40.45,39.65,40.25,15956,34.75,40.45,96.49122807,91.05863778,85.99390448,75.86443789
2902,31913956,1269760431,40.7,40.9,39.05,39.45,15419,35.8,40.9,71.56862745,84.56196767,85.51659221,87.4258413
2903,21737623,867833433,40.0,40.3,39.15,39.85,10576,36.2,40.9,77.65957447,82.26116994,84.43145145,88.77201449
2904,19361604,765946614,40.35,40.4,39.3,39.4,10289,36.35,40.9,67.03296703,77.1851023,82.01600174,91.6778006
2905,14502454,573508610,39.5,39.8,39.25,39.7,6883,37.25,40.9,67.12328767,73.83116409,79.28772252,90.20083938
2906,19900482,801696747,39.95,40.6,39.65,40.35,11323,37.65,40.9,83.07692308,76.91308375,78.49617626,81.66236129
2907,33496747,1382438502,41.0,41.7,41.0,41.1,18304,38.2,41.7,82.85714286,78.89443679,78.62892977,78.09791574
2908,40104909,1671675500,41.2,42.1,40.65,42.1,18559,39.05,42.1,100.0,85.92962453,81.06249469,71.32823502
2909,43076616,1826607149,42.2,42.75,42.05,42.45,18233,39.05,42.75,91.89189189,87.91704698,83.34734545,74.2079424
2910,40334148,1735322528,42.8,43.4,42.55,42.9,17498,39.05,43.4,88.50574713,88.11328036,84.93599042,78.58141054
2911,30104970,1303079385,43.65,43.8,42.6,42.85,15581,39.15,43.8,79.56989247,85.2654844,85.04582175,84.60649645
2912,20859260,899311254,43.1,43.45,42.85,43.15,10043,39.25,43.8,85.71428571,85.41508484,85.16890945,84.67655866
2913,40724425,1772924046,43.75,44.2,42.85,43.15,21313,39.25,44.2,78.78787879,83.20601615,84.51461168,87.13180274
2914,33132752,1409871347,43.15,43.2,42.05,42.8,16576,39.65,44.2,69.23076923,78.54760051,82.52560796,90.48162285
