data,volume,price,open,high,low,close,diff,times,result,Prediction_Result
107/03/07,30391219,7525601638,248.0,248.5,246.0,247.0,-3.00,10521,0,0.6427145708582834
107/03/08,20645694,5172732531,249.5,251.5,249.0,249.5,+2.50,8817,1,0.3712574850299401
107/03/09,22887063,5723277170,250.0,251.0,248.5,250.5,+1.00,7050,1,0.38323353293413176
107/03/12,25100615,6370529728,252.0,255.0,251.5,254.0,+3.50,10550,1,0.38922155688622756
107/03/13,34264883,8816553606,255.5,259.0,255.0,259.0,+5.00,11700,1,0.564870259481038
107/03/14,24254838,6220805864,256.5,257.5,255.5,257.0,-2.00,8518,0,0.34530938123752497
107/03/15,19396493,4965546715,258.0,258.0,255.0,255.0,-2.00,5945,0,0.2435129740518962
107/03/16,62989326,15930805360,253.0,256.0,249.5,255.0,0.00,18058,0,0.7465069860279441
107/03/19,22440766,5679567964,252.5,255.5,251.0,255.0,0.00,9888,0,0.40119760479041916
107/03/20,22335151,5640426203,253.0,254.0,251.5,253.0,-2.00,9334,0,0.37524950099800397
107/03/21,32977737,8325162114,255.0,255.0,251.0,252.5,-0.50,11575,0,0.5489021956087824
107/03/22,27000718,6797045014,254.5,254.5,249.5,251.5,-1.00,10475,0,0.42115768463073855
107/03/23,52974390,12994667867,245.0,247.0,244.0,245.0,-6.50,20513,0,0.6866267465069861
107/03/26,39487945,9582954454,241.5,244.5,241.5,243.5,-1.50,11404,0,0.42115768463073855
107/03/27,31100260,7732298021,248.0,251.0,247.0,251.0,+7.50,11698,1,0.716566866267465
107/03/28,29924411,7349468217,247.5,248.0,244.0,245.0,-6.00,13041,0,0.6427145708582834
107/03/29,36427345,8888435870,243.0,247.0,242.5,244.0,-1.00,12832,0,0.7005988023952096
107/03/30,16996346,4212690462,247.5,249.5,246.0,246.0,+2.00,7578,1,0.3912175648702595
107/03/31,3603912,893664176,247.5,249.0,246.5,247.5,+1.50,2409,1,0.44510978043912175
107/04/02,19029003,4702581241,248.5,249.0,245.0,246.5,-1.00,6951,0,0.36926147704590817
107/04/03,35813944,8710200224,243.0,244.5,242.0,244.0,-2.50,13270,0,0.7524950099800399
107/04/09,35465824,8716801768,248.0,248.0,243.5,245.0,+1.00,12437,1,0.7285429141716567
107/04/10,25268994,6231896018,244.5,249.0,243.5,245.5,+0.50,11912,1,0.42714570858283435
107/04/11,21777935,5391978180,246.5,248.5,246.5,248.0,+2.50,8813,1,0.34930139720558884
