volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
20886897,12544595323,600,602,598,602,17964,585,602,100,65.41470143,47.21536014,10.81667757,0
42340785,25935652781,611,617,610,611,42855,585,617,81.25,70.69313429,55.04128486,23.737586,0
18518512,11303615778,611,612,608,612,19147,585,617,84.375,75.25375619,61.7787753,34.82881352,0
20257792,12225622771,600,606,600,606,16140,585,617,65.625,72.04417079,65.2005738,51.51337981,0
21373014,12801799429,610,611,602,604,13869,585,617,59.375,67.82111386,66.07408715,62.58003374,0
17140935,10434209332,609,611,607,608,13140,585,617,71.875,69.17240924,67.10686118,62.97576507,0
21776308,13285168416,612,612,608,610,14487,585,617,78.125,72.15660616,68.79010951,62.0571162,0
21829653,13330782804,615,615,608,610,14807,595,617,68.18181818,70.83167683,69.47063195,66.74854218,0
22933191,14019057524,613,614,607,613,15913,598,617,78.94736842,73.53690736,70.82605709,65.40435654,0
38847820,24047156185,622,623,617,618,32179,600,623,78.26086957,75.11156143,72.25455854,66.54055275,0
23296854,14354639781,618,618,615,615,14108,600,623,65.2173913,71.81350472,72.1075406,72.69561235,0
20022520,12266300247,615,615,611,612,15011,600,623,52.17391304,65.26697416,69.82735179,78.94810703,0
22978524,13904268592,612,612,602,603,23584,602,623,4.761904762,45.0986177,61.58444042,94.55608588,0
14171433,8551663451,605,607,601,603,14137,601,623,9.090909091,33.09604816,52.08830967,90.07283268,0
27882175,16609442268,598,601,592,596,47638,592,623,12.90322581,26.36510738,43.5139089,77.81151196,0
24160615,14360266132,594,598,591,593,23653,591,623,6.25,19.66007158,35.5626298,67.36774622,0
69160408,41208103150,597,600,591,596,24427,591,623,15.625,18.31504772,29.81343577,52.81021187,1
30119408,18021861252,596,603,594,600,15695,591,623,28.125,21.58503182,27.07063445,38.04183973,1
48720976,29780012954,605,615,602,615,40629,591,618,88.88888889,44.01965084,32.72030658,10.12161807,0
27571974,16798271782,614,614,606,608,16197,591,615,70.83333333,52.957545,39.46605272,12.48306816,0
24474913,14740969839,603,609,600,600,19139,591,615,37.5,47.80503,42.24571182,31.12707544,0
21105883,12704452330,602,607,597,607,22160,591,615,66.66666667,54.09224222,46.19455529,30.39918141,0
22194708,13490034097,614,614,602,602,15634,591,615,45.83333333,51.33927259,47.90946105,41.04983798,0
12467833,7554386680,606,608,602,608,9231,591,615,70.83333333,57.83729284,51.21873832,37.98162927,0
11371659,6874539365,605,608,602,605,9215,591,615,58.33333333,58.00263967,53.48003877,44.43483696,0
17994933,10887156003,609,610,601,601,12503,594,615,33.33333333,49.77953756,52.24653837,57.18053998,0
22997961,13757424386,598,600,597,599,21324,597,615,11.11111111,36.89006208,47.12771294,67.60301465,0
22419040,13420958112,597,601,596,600,19195,596,614,22.22222222,32.00078212,42.08540267,62.25464375,0
22151282,13370280179,605,605,601,605,15515,596,614,50,38.00052142,40.72377558,46.17028391,1
30319495,18339763894,601,607,599,607,11667,596,614,61.11111111,45.70405131,42.38386749,35.74349985,1
22381761,13446342438,607,607,598,598,18943,596,614,11.11111111,34.17307125,39.64693541,50.59466374,0
17669559,10560361874,597,600,595,597,17336,595,610,13.33333333,27.22649194,35.50678759,52.06737888,0
10127887,6067689422,598,601,598,600,8238,595,610,33.33333333,29.26210574,33.42522697,41.75146944,0
16910501,10238270336,607,608,602,606,12888,595,610,73.33333333,43.95251494,36.93432296,22.89793901,1
12008673,7276331245,606,609,604,604,10444,595,609,64.28571429,50.73024805,41.53296466,23.13839787,0
16771900,10193462167,604,610,604,606,16637,595,610,73.33333333,58.26460981,47.11017971,24.8013195,0
35156339,21569506434,610,615,610,615,36241,595,615,100,72.17640654,55.46558865,22.04395288,0
25604320,15788043027,615,619,614,616,28804,595,619,87.5,77.28427103,62.73848278,33.64690628,0
20522055,12654016133,619,620,615,615,15565,595,620,80,78.18951402,67.88882653,47.28745154,0
