,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2914,2355582,158530146,68.0,68.4,66.3,67.0,1849,63.1,68.4,73.58490566,79.92555085,80.07580596,80.37631619,0
2915,1775540,120539584,67.7,68.5,67.1,67.5,1122,63.3,68.5,80.76923077,80.20677749,80.11946314,79.94483443,0
2916,757155,50663073,67.4,67.5,66.4,66.6,644,63.7,68.5,60.41666667,73.61007388,77.94966672,86.62885239,1
2917,491893,32706141,66.5,66.9,66.2,66.5,368,63.7,68.5,58.33333333,68.51782703,74.80572016,87.3815064,1
2918,619576,40739963,65.8,66.2,65.3,65.5,444,63.8,68.5,36.17021277,57.73528894,69.11557642,91.87615137,0
2919,549911,35906084,65.5,66.0,64.8,65.1,406,64.0,68.5,24.44444444,46.63834078,61.62316454,91.59281206,1
2920,873556,58243087,66.7,68.2,65.9,66.0,736,64.1,68.5,43.18181818,45.48616658,56.24416522,77.7601625,1
2921,3730460,256558663,67.5,69.4,67.5,69.2,2631,64.8,69.4,95.65217391,62.20816902,58.23216649,50.28016141,0
2922,1733009,119602164,70.0,70.0,68.2,69.0,1771,64.8,70.0,80.76923077,68.39518961,61.61984086,48.06914337,0
2923,863114,59355340,69.0,69.5,68.3,68.6,689,64.8,70.0,73.07692308,69.95576743,64.39848305,53.28391429,1
2924,1059899,72035086,69.2,69.2,67.4,68.0,692,64.8,70.0,61.53846154,67.1499988,65.31565497,61.6469673,1
2925,2499312,174408055,69.0,70.2,68.7,70.2,1827,64.8,70.2,100.0,78.0999992,69.57710304,52.53131073,0
2926,2116693,144635312,70.3,70.3,67.0,67.2,1646,64.8,70.3,43.63636364,66.61212068,68.58877559,72.54208541,0
2927,937391,62756336,67.2,67.6,66.6,67.2,628,64.8,70.3,43.63636364,58.953535,65.37702872,78.22401618,1
2928,362137,24370365,67.2,67.8,66.8,67.2,321,65.9,70.3,29.54545455,49.15084151,59.96829965,81.60321594,0
2929,845175,55651378,67.2,67.2,65.3,65.5,654,65.3,70.3,4.0,34.10056101,51.34572011,85.8360383,1
2930,663233,43039105,64.2,65.7,63.6,65.4,447,63.6,70.3,26.86567164,31.68893122,44.79345714,71.00250899,1
2931,783670,51984788,65.4,67.0,65.4,65.7,525,63.6,70.3,31.34328358,31.57371534,40.38687654,58.01319895,1
2932,309379,20427945,65.1,66.6,65.0,66.5,253,63.6,70.3,43.28358209,35.47700426,38.75025245,45.29674883,0
2933,448212,29793305,66.4,66.8,66.2,66.4,391,63.6,70.3,41.79104478,37.58168443,38.36072978,39.91882047,0
2934,567192,37492638,66.1,66.9,65.5,66.0,410,63.6,70.3,35.82089552,36.99475479,37.90540478,39.72670476,1
2935,599759,39122712,66.0,66.0,65.0,65.3,478,63.6,67.8,40.47619048,38.15523335,37.98868097,37.65557621,0
2936,1955640,133456110,68.5,69.1,67.3,68.3,1369,63.6,69.1,85.45454545,53.92167072,43.29967756,22.05569122,0
2937,1156474,79457954,69.0,69.2,68.1,68.7,848,63.6,69.2,91.07142857,66.30492334,50.96809282,20.29443177,0
2938,1035908,71698960,69.4,69.8,68.7,68.8,696,63.6,69.8,83.87096774,72.16027147,58.03215237,29.77591416,0
2939,544863,37594216,68.8,69.3,68.4,69.0,526,65.0,69.8,83.33333333,75.88462543,63.98297672,40.17967931,1
2940,1194040,83032689,69.0,69.9,68.8,69.9,821,65.0,69.9,100.0,83.92308362,70.62967902,44.04286982,1
2941,800615,55166801,69.9,69.9,68.3,68.5,807,65.0,69.9,71.42857143,79.75824622,73.67253475,61.50111182,1
2942,2737152,191240505,68.5,70.6,68.4,69.2,2181,65.0,70.6,75.0,78.17216415,75.17241122,69.17290536,0
2943,1365363,94230964,69.8,70.0,68.7,68.8,994,65.0,70.6,67.85714286,74.73382372,75.02621538,75.61099872,1
2944,2515574,171149481,68.5,69.0,67.5,68.0,735,67.3,70.6,21.21212121,56.89325622,68.98189566,93.15917455,0
2945,1219414,82787473,68.0,68.7,67.3,67.4,599,67.3,70.6,3.03030303,38.93893849,58.9675766,99.02485284,1
2946,495118,33574794,68.0,68.1,67.2,68.0,390,67.2,70.6,23.52941176,33.80242958,50.57919426,84.13272363,1
2947,428478,29023673,68.4,68.4,67.4,67.4,362,67.2,70.6,5.882352941,24.49573737,41.88470863,76.66265116,1
2948,2844257,198311756,67.6,70.4,67.6,69.7,1823,67.2,70.6,73.52941176,40.8402955,41.53657092,42.92912176,0
2949,1779448,122932213,70.0,70.5,68.3,68.4,1927,67.2,70.6,35.29411765,38.99156955,40.68823713,44.08157229,1
2950,668035,46177031,69.4,69.5,68.6,69.4,472,67.2,70.6,64.70588235,47.56300715,42.97982714,33.81346711,0
2951,1154919,80442534,69.8,70.1,68.9,70.0,841,67.2,70.5,84.84848485,59.99149972,48.65038466,25.96815456,0
2952,1857688,130468475,70.0,70.5,69.8,70.3,1358,67.2,70.5,93.93939394,71.30746446,56.20274459,25.99330487,1
